date,boss,item_name,ilvl,slot,player,award_type,note,record_id,item_entry
2026-08-20,Король Молгар,Вороненые наручи поблекшего леса,260,wrist,Ligad,main,,9328537,81645
2026-08-20,Король Молгар,Молот верховного суда,260,one_hand,Deefa,main,,9328537,158816
2026-08-20,Король Молгар,Печать Пустоты,260,token,,,не роздан авто — впиши получателя,9328537,280005
2026-08-20,Груул Драконобой,Печать Пустоты,260,token,,,не роздан авто — впиши получателя,9328913,280005
2026-08-20,Груул Драконобой,Рукавицы нефритовой ведьмы,260,hands,Уменяжелапки,main,,9328913,80742
2026-08-20,Груул Драконобой,Окровавленная кружка эля,260,trinket,Fexler,main,,9328913,63843
2026-08-20,Груул Драконобой,Инкрустированные ножи,260,ranged,Уменяжелапки,main,,9328913,82218
2026-08-20,Магтеридон,Печать Пустоты,260,token,,,не роздан авто — впиши получателя,9329092,280005
2026-08-20,Магтеридон,Плащ микоза,260,back,,,не роздан авто — впиши получателя,9329092,61415
2026-08-20,Магтеридон,Вороненый головной покров нарушителя спокойствия,260,head,,,не роздан авто — впиши получателя,9329092,90292
2026-08-20,Магтеридон,Посох внутреннего сосредоточения,260,two_hand,,,не роздан авто — впиши получателя,9329092,84251
2026-08-20,Чудовища Нордскола,Жало Тараска,258,one_hand,Carti,main,,9329494,47422
2026-08-20,Чудовища Нордскола,Развевающиеся одеяния восхождения,258,chest,Уменяжелапки,main,,9329494,47425
2026-08-20,Чудовища Нордскола,Бриджи прирученного зверя,258,legs,,,не роздан авто — впиши получателя,9329494,47420
2026-08-20,Лорд Джараксус,Обруч Темной Целительницы,258,finger,Уменяжелапки,off,авто счёл ОФФ — проверь,9329576,47439
2026-08-20,Лорд Джараксус,Башмаки занимающейся зари,258,feet,Moornight,main,,9329576,47430
2026-08-20,Лорд Джараксус,Утешение павших,258,trinket,Garoshik,main,,9329576,47432
2026-08-27,Король Молгар,Прошитый шнурованный ремень,260,waist,Сонечко,main,,9375808,81966
2026-08-27,Король Молгар,Вороненые наручи поблекшего леса,260,wrist,Мозол,main,,9375808,81645
2026-08-27,Король Молгар,Молот верховного суда,260,one_hand,Deefa,main,,9375808,158816
2026-08-27,Король Молгар,Печать Пустоты,260,token,,,не роздан авто — впиши получателя,9375808,280005
2026-08-27,Груул Драконобой,Печать Пустоты,260,token,,,не роздан авто — впиши получателя,9376264,280005
2026-08-27,Груул Драконобой,Прочный кожаный шлем нарушителя спокойствия,260,head,,,не роздан авто — впиши получателя,9376264,90287
2026-08-27,Груул Драконобой,Степные наголенники,260,feet,Ashqdexe,main,,9376264,82024
2026-08-27,Груул Драконобой,Полированный широкий топор,260,two_hand,Deefa,main,,9376264,82019
2026-08-27,Магтеридон,Печать Пустоты,260,token,,,не роздан авто — впиши получателя,9376595,280005
2026-08-27,Магтеридон,Перчатки шепота,260,hands,,,не роздан авто — впиши получателя,9376595,82040
2026-08-27,Магтеридон,Журавль Шоми,260,one_hand,Сонечко,main,,9376595,90488
2026-08-27,Магтеридон,Щит кровавого шамана,260,one_hand,Ashqdexe,off,авто счёл ОФФ — проверь,9376595,104226
2026-09-01,Чудовища Нордскола,Пояс мрачного тумана,258,waist,,,не роздан авто — впиши получателя,9410859,47419
2026-09-01,Чудовища Нордскола,Тяжелые наручи-костеломы,258,wrist,,,не роздан авто — впиши получателя,9410859,47414
2026-09-01,Чудовища Нордскола,Бриджи прирученного зверя,258,legs,,,не роздан авто — впиши получателя,9410859,47420
2026-09-01,Лорд Джараксус,Обруч Темной Целительницы,258,finger,,,не роздан авто — впиши получателя,9410922,47439
2026-09-01,Лорд Джараксус,Кровавое остервенение,258,one_hand,Deefa,main,,9410922,47427
2026-09-01,Лорд Джараксус,Утешение павших,258,trinket,Ashqdexe,main,,9410922,47432
2026-09-01,Валь'киры-близнецы,Парализующий удар холодного сердца,258,one_hand,Трусынаправо,main,,9411379,47461
2026-09-01,Валь'киры-близнецы,Пояс беспощадного убийцы,258,waist,,,не роздан авто — впиши получателя,9411379,47460
2026-09-01,Валь'киры-близнецы,Бригантина замерзшего озера,258,chest,Urshifu,off,авто счёл ОФФ — проверь,9411379,47471
2026-09-01,Ануб'арак,Поручи мрачной решимости,258,wrist,Arkeli,main,,9411495,47474
2026-09-01,Ануб'арак,Рукавицы мучительного возмездия,258,hands,Deefa,main,,9411495,47492
2026-09-01,Ануб'арак,Брюки разрастающейся бездны,258,legs,,,не роздан авто — впиши получателя,9411495,47478
2026-09-01,Ануб'арак,Воинский пояс смертельной власти,258,waist,Deefa,main,,9411495,47472
